WARNING 2026-03-22 15:52:48,307 log 9312 2152 "GET /passager/ HTTP/1.1" 404 2678
INFO 2026-03-22 17:01:07,974 autoreload 14576 11368 Watching for file changes with StatReloader
WARNING 2026-03-22 17:01:38,820 log 14576 4484 Not Found: /passager/
WARNING 2026-03-22 17:01:38,821 log 14576 4484 "GET /passager/ HTTP/1.1" 404 2678
INFO 2026-03-22 17:01:47,534 log 14576 4484 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-03-22 17:01:47,882 log 14576 4484 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4085
INFO 2026-03-22 17:10:20,620 autoreload 15028 1144 Watching for file changes with StatReloader
WARNING 2026-03-22 17:10:45,692 log 15028 10672 Not Found: /
WARNING 2026-03-22 17:10:45,693 log 15028 10672 "GET / HTTP/1.1" 404 2633
INFO 2026-03-22 17:11:06,716 log 15028 10672 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-03-22 17:11:06,754 log 15028 10672 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4085
INFO 2026-03-22 17:12:57,953 log 15028 8476 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-03-22 17:12:57,986 log 15028 8476 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4085
INFO 2026-03-22 17:13:06,238 log 15028 15788 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-03-22 17:13:06,243 log 15028 15788 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4085
INFO 2026-03-22 17:36:41,805 autoreload 16976 7852 Watching for file changes with StatReloader
WARNING 2026-03-22 17:37:00,805 log 16976 16396 Not Found: /passager/
WARNING 2026-03-22 17:37:00,806 log 16976 16396 "GET /passager/ HTTP/1.1" 404 2678
INFO 2026-03-22 18:04:11,156 log 16976 3496 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-03-22 18:04:11,298 log 16976 3496 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4085
WARNING 2026-03-22 18:09:14,464 log 16976 15404 Not Found: /
WARNING 2026-03-22 18:09:14,466 log 16976 15404 "GET / HTTP/1.1" 404 2633
INFO 2026-03-23 15:21:47,807 autoreload 11296 1408 Watching for file changes with StatReloader
WARNING 2026-03-23 15:22:31,156 log 11296 19736 Not Found: /
WARNING 2026-03-23 15:22:31,160 log 11296 19736 "GET / HTTP/1.1" 404 2633
WARNING 2026-03-23 15:22:39,029 log 11296 19736 Not Found: /users/
WARNING 2026-03-23 15:22:39,030 log 11296 19736 "GET /users/ HTTP/1.1" 404 2669
INFO 2026-03-23 15:22:55,628 log 11296 19736 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4085
INFO 2026-03-23 15:35:31,320 autoreload 20980 2180 Watching for file changes with StatReloader
INFO 2026-03-23 15:37:22,501 autoreload 20980 2180 C:\Users\cheik\transport-plateforme\api_transport_platform\users\models.py changed, reloading.
INFO 2026-03-23 15:37:23,798 autoreload 22344 20044 Watching for file changes with StatReloader
INFO 2026-03-23 15:37:49,462 autoreload 7272 11988 Watching for file changes with StatReloader
INFO 2026-03-23 15:38:15,877 autoreload 7272 11988 C:\Users\cheik\transport-plateforme\api_transport_platform\users\models.py changed, reloading.
INFO 2026-03-23 15:38:17,616 autoreload 20520 15476 Watching for file changes with StatReloader
INFO 2026-03-23 15:38:40,651 autoreload 22492 19836 Watching for file changes with StatReloader
INFO 2026-03-23 15:39:50,166 autoreload 22492 19836 C:\Users\cheik\transport-plateforme\api_transport_platform\users\models.py changed, reloading.
INFO 2026-03-23 15:39:51,557 autoreload 17772 6452 Watching for file changes with StatReloader
INFO 2026-03-23 15:40:23,596 autoreload 20704 20056 Watching for file changes with StatReloader
WARNING 2026-03-23 15:41:11,265 log 20704 12112 Not Found: /
WARNING 2026-03-23 15:41:11,272 log 20704 12112 "GET / HTTP/1.1" 404 2633
WARNING 2026-03-23 15:41:33,126 log 20704 12112 Not Found: /users/
WARNING 2026-03-23 15:41:33,131 log 20704 12112 "GET /users/ HTTP/1.1" 404 2669
WARNING 2026-03-23 15:41:51,682 log 20704 12112 Not Found: /vehicules
WARNING 2026-03-23 15:41:51,689 log 20704 12112 "GET /vehicules HTTP/1.1" 404 2678
WARNING 2026-03-23 15:42:01,078 log 20704 12112 Not Found: /passager
WARNING 2026-03-23 15:42:01,080 log 20704 12112 "GET /passager HTTP/1.1" 404 2675
WARNING 2026-03-23 15:44:35,434 log 20704 12112 Not Found: /trajets
WARNING 2026-03-23 15:44:35,435 log 20704 12112 "GET /trajets HTTP/1.1" 404 2672
INFO 2026-03-23 15:45:50,300 log 20704 12112 "GET /api/v1/users HTTP/1.1" 301 0
WARNING 2026-03-23 15:45:50,795 log 20704 12112 Forbidden: /api/v1/users/
WARNING 2026-03-23 15:45:50,796 log 20704 12112 "GET /api/v1/users/ HTTP/1.1" 403 5028
INFO 2026-03-23 15:45:51,685 log 20704 21144 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2026-03-23 15:45:51,759 log 20704 12112 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2026-03-23 15:45:51,799 log 20704 5156 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2026-03-23 15:45:51,822 log 20704 21144 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2026-03-23 15:45:51,826 log 20704 3636 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2026-03-23 15:45:51,874 log 20704 3636 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2026-03-23 15:45:51,883 log 20704 21144 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2026-03-23 15:45:51,932 log 20704 21944 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2026-03-23 15:45:51,935 log 20704 5156 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2026-03-23 15:45:51,955 log 20704 21540 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2026-03-23 15:45:51,982 log 20704 21540 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2026-03-23 15:45:52,000 log 20704 12112 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
WARNING 2026-03-23 15:46:41,539 log 20704 12112 Forbidden: /api/v1/reservations/
WARNING 2026-03-23 15:46:41,542 log 20704 12112 "GET /api/v1/reservations/ HTTP/1.1" 403 5124
WARNING 2026-03-23 15:46:48,657 log 20704 12112 Forbidden: /api/v1/reservations/
WARNING 2026-03-23 15:46:48,660 log 20704 12112 "GET /api/v1/reservations/ HTTP/1.1" 403 5124
INFO 2026-03-23 23:33:31,346 autoreload 20704 20056 C:\Users\cheik\transport-plateforme\api_transport_platform\users\models.py changed, reloading.
INFO 2026-03-23 23:33:36,252 autoreload 5544 7164 Watching for file changes with StatReloader
INFO 2026-03-23 23:33:57,821 autoreload 5544 7164 C:\Users\cheik\transport-plateforme\api_transport_platform\vehicules\models.py changed, reloading.
INFO 2026-03-23 23:33:58,837 autoreload 22332 18208 Watching for file changes with StatReloader
INFO 2026-03-23 23:34:42,627 autoreload 22332 18208 C:\Users\cheik\transport-plateforme\api_transport_platform\vehicules\admin.py changed, reloading.
INFO 2026-03-23 23:34:43,902 autoreload 740 17636 Watching for file changes with StatReloader
INFO 2026-03-23 23:51:06,215 autoreload 10816 23796 Watching for file changes with StatReloader
WARNING 2026-03-23 23:52:19,381 log 10816 24556 Not Found: /
WARNING 2026-03-23 23:52:19,382 log 10816 24556 "GET / HTTP/1.1" 404 2633
INFO 2026-03-23 23:57:04,588 log 10816 24556 "GET /api/v1/vehicules HTTP/1.1" 301 0
WARNING 2026-03-23 23:57:04,840 log 10816 24556 Forbidden: /api/v1/vehicules/
